naics,group_name,real_energy_intensity
334111,High Energy,64.44877905238373
334413,High Energy,8.241646963862017
334112,High Energy,4.553756326960504
334118,High Energy,1.9002739534416897
311213,High Energy,0.6525992339792175
327410,High Energy,0.6252026922243226
331313,High Energy,0.6052488366951975
327310,High Energy,0.5040858237519266
322122,High Energy,0.45423268695558916
327211,High Energy,0.41330617369566175
325312,High Energy,0.38547388583825226
334613,High Energy,0.34091463257991333
311221,High Energy,0.32702429691162777
325120,High Energy,0.304354026023745
322121,High Energy,0.2626987373161744
311313,High Energy,0.2595082327159408
311224,High Energy,0.2555509517669249
322130,High Energy,0.25220952165856053
327120,High Energy,0.2487234823244514
325311,High Energy,0.2356005960990625
325180,High Energy,0.23532344529939897
331110,High Energy,0.23217473758271717
331410,High Energy,0.2193345429659414
325220,High Energy,0.20747438232981785
321219,High Energy,0.20417230612742848
322110,High Energy,0.19041861060399826
327993,High Energy,0.17995751074229954
313110,High Energy,0.17763725917608333
313310,High Energy,0.17599968598490423
332811,High Energy,0.16731838176312322
327420,High Energy,0.15745546316391001
335991,High Energy,0.14615827499357542
325130,High Energy,0.14386413367083353
311512,High Energy,0.14244759431085344
335921,High Energy,0.13873255381422986
324199,High Energy,0.1372199644302792
321113,High Energy,0.13170410789351747
327992,High Energy,0.12897973739679347
313210,High Energy,0.12528108393803222
313240,High Energy,0.12298047253145476
325314,High Energy,0.1180463564357085
321912,High Energy,0.11066213034483223
331492,High Energy,0.10794220739734683
327213,High Energy,0.10675135500277151
331511,High Energy,0.10538463963625118
327212,High Energy,0.10531444955711786
331315,High Energy,0.10091907496436976
311314,High Energy,0.09947541926541695
311613,High Energy,0.09942773517815477
334418,High Energy,0.09900735028149914
331221,High Energy,0.09820988404248383
324110,High Energy,0.09439817976643676
312113,High Energy,0.09322447502475614
325194,High Energy,0.09303385850010618
311513,High Energy,0.09298460036595717
314994,High Energy,0.09297390854583415
332111,High Energy,0.09160026568693513
334614,High Energy,0.08844343796743324
311514,High Energy,0.08767711115692893
332112,High Energy,0.0857924437256842
321211,High Energy,0.08527864459673852
311225,High Energy,0.08423298424853404
325920,High Energy,0.08383714128218679
331513,High Energy,0.08337625699886649
321114,High Energy,0.08213558509013516
311211,High Energy,0.08171183659298319
334310,High Energy,0.08131581852764466
321999,High Energy,0.07722338750825399
331318,High Energy,0.07721536510102407
311615,High Energy,0.07572540525045063
334210,High Energy,0.07508630086756705
331529,High Energy,0.0734127428920144
325193,High Energy,0.07308730702384231
314110,High Energy,0.07212791895939993
326150,High Energy,0.07136325759989919
332813,High Energy,0.0701411727327785
326140,High Energy,0.06967827539363242
325991,High Energy,0.06959222566853537
313230,High Energy,0.06956717317645232
311411,High Energy,0.06948769949439636
325411,High Energy,0.06892307408335178
327999,High Energy,0.0683943081224495
321212,High Energy,0.06822508299408553
315110,High Energy,0.06655568143058732
325199,High Energy,0.06599180626102442
313220,High Energy,0.06597888084228057
325211,High Energy,0.06547478011362531
327331,High Energy,0.06540082337906906
311119,High Energy,0.06486330903767622
325212,High Energy,0.06311382146371253
331314,High Energy,0.06295101069162562
326122,High Energy,0.06243936046709105
327991,High Energy,0.06206102984067835
326160,High Energy,0.06191441451719897
335221,High Energy,0.06134337394131189
316110,High Energy,0.06111934497228541
335222,High Energy,0.061089631390334624
313320,High Energy,0.060709378103116995
327320,High Energy,0.05953490320465118
325998,High Energy,0.05948635477984818
335224,High Energy,0.05940743409996839
326121,High Energy,0.059172809337728796
334412,High Energy,0.05902081230899096
324121,High Energy,0.05827179724485852
334419,High Energy,0.056819936450826405
327110,High Energy,0.055705394636073664
326211,High Energy,0.05544750094691665
322299,High Energy,0.054199403796495044
326199,High Energy,0.05341407635100677
311611,High Energy,0.052884079396585966
326299,High Energy,0.052113651625529896
325110,High Energy,0.051396507664474456
326191,High Energy,0.05110706720335784
326130,High Energy,0.05098038791936937
324122,High Energy,0.0504239583952531
326113,High Energy,0.049041355631756704
311111,High Energy,0.04647475290501143
314999,High Energy,0.04474929036825474
326112,High Energy,0.04401733147572272
311412,High Energy,0.03332227391225356
336111,High Energy,0.027416241929082145
336120,High Energy,0.025719876304041128
325612,High Energy,0.014513156474774734
336330,Low Energy,0.04153224251030906
336340,Low Energy,0.04067479355716557
336350,Low Energy,0.03576202890310554
336390,Low Energy,0.035164040986623644
316992,Low Energy,0.030696008623078697
323117,Low Energy,0.029569892988135404
336310,Low Energy,0.02923499342371515
337215,Low Energy,0.02907840364745924
339950,Low Energy,0.027218330617403964
333995,Low Energy,0.024775947228352475
322291,Low Energy,0.024661316537542874
325910,Low Energy,0.024630985086018558
316998,Low Energy,0.024377502187277255
332710,Low Energy,0.024171208738801627
332994,Low Energy,0.024073075512511484
337214,Low Energy,0.023789353487745697
332323,Low Energy,0.02360525463947075
333515,Low Energy,0.02357642872465757
333519,Low Energy,0.023476022197978508
334517,Low Energy,0.02329721417966858
332321,Low Energy,0.02318540313805021
335312,Low Energy,0.02307488675968017
323111,Low Energy,0.023031540378727827
312112,Low Energy,0.02299939407663722
332312,Low Energy,0.02291831881051878
332991,Low Energy,0.022898424636388418
336413,Low Energy,0.02285322522420644
322219,Low Energy,0.02265500875031968
333613,Low Energy,0.022483467022965425
334514,Low Energy,0.022308979364194088
333997,Low Energy,0.022082998294731808
335110,Low Energy,0.022018262535952356
332215,Low Energy,0.021541293112602028
334290,Low Energy,0.02134387359560753
311911,Low Energy,0.0212555686804137
335314,Low Energy,0.020668192103419348
333514,Low Energy,0.0205335347178433
335912,Low Energy,0.020496098156832235
333912,Low Energy,0.02041086630403463
334512,Low Energy,0.020237625004397974
334515,Low Energy,0.02017932168920433
332912,Low Energy,0.01996531997801414
337127,Low Energy,0.019949676337224574
332410,Low Energy,0.019948233773894434
332216,Low Energy,0.01987398504274289
339112,Low Energy,0.019870577214745607
333921,Low Energy,0.019825919417142627
333924,Low Energy,0.019822336198774687
332919,Low Energy,0.01971954425942156
315220,Low Energy,0.01970547861333233
336412,Low Energy,0.019523835035090323
334519,Low Energy,0.01947796092512886
312111,Low Energy,0.01941807049909248
334511,Low Energy,0.019212815095081322
334510,Low Energy,0.018803586497930513
315990,Low Energy,0.018565645823772618
332322,Low Energy,0.018460768312017865
322212,Low Energy,0.018285928614233272
337910,Low Energy,0.01825302618956797
314910,Low Energy,0.018153191009342942
333120,Low Energy,0.018012145685441572
316210,Low Energy,0.017930153602693195
333132,Low Energy,0.01791954785686204
311920,Low Energy,0.01788122232672581
326111,Low Energy,0.01782062379307533
311812,Low Energy,0.01760497270273342
336611,Low Energy,0.017544585604903646
335932,Low Energy,0.017513947135936913
337211,Low Energy,0.017412310570086267
333612,Low Energy,0.017091767125739923
333244,Low Energy,0.01699358719578194
332911,Low Energy,0.016951599463318385
335931,Low Energy,0.01683333413142703
336992,Low Energy,0.016795625170670368
336414,Low Energy,0.016753768653185296
339992,Low Energy,0.01668755697055881
333517,Low Energy,0.01668145445152351
332913,Low Energy,0.016577629131659347
332996,Low Energy,0.016193886434664323
333999,Low Energy,0.016192566126639905
336212,Low Energy,0.016106926994772397
333413,Low Energy,0.01604948732989238
333243,Low Energy,0.016040231169819966
336612,Low Energy,0.015862524646869772
339113,Low Energy,0.015810765716975574
333923,Low Energy,0.015798588445537068
333992,Low Energy,0.015711400186876293
333922,Low Energy,0.015526240279334335
321992,Low Energy,0.015281524495055123
325510,Low Energy,0.015221193975671107
333242,Low Energy,0.015207143391171022
311821,Low Energy,0.014845385123869088
336510,Low Energy,0.014701261365489849
336211,Low Energy,0.014308337102702493
332311,Low Energy,0.014166968806886187
333241,Low Energy,0.013885292946240808
333994,Low Energy,0.013883217639853002
333996,Low Energy,0.01373090351406128
334513,Low Energy,0.013694391031889755
333911,Low Energy,0.0134862943025249
321991,Low Energy,0.013157894877449566
315280,Low Energy,0.013098888821991818
335313,Low Energy,0.01308907200547552
336419,Low Energy,0.0128281865599533
333611,Low Energy,0.012681728493648101
333131,Low Energy,0.012635126577193236
333249,Low Energy,0.012437724351484014
333913,Low Energy,0.011984368191320077
333993,Low Energy,0.011217464559463158
311352,Low Energy,0.010951107556936268
324191,Low Energy,0.009939147896707043
336411,Low Energy,0.009263180670526788
311212,Low Energy,0.009262187698624389
339114,Low Energy,0.008821092231327729
339910,Low Energy,0.007884509740805628
311340,Low Energy,0.007282003386617166
325620,Low Energy,0.007015423219686148
325412,Low Energy,0.00557927864989092
312230,Low Energy,0.004069631407938517
332812,Medium Energy,0.06842988440579076
331420,Medium Energy,0.05798573514433942
311612,Medium Energy,0.05613741024018579
331222,Medium Energy,0.055779053402199956
311423,Medium Energy,0.054991622677472034
327215,Medium Energy,0.053795783095470104
326291,Medium Energy,0.053311468499409355
325613,Medium Energy,0.05269689583500586
331523,Medium Energy,0.05248817332288663
314120,Medium Energy,0.048929939143984906
332993,Medium Energy,0.047274243148120135
311511,Medium Energy,0.04694738219272817
311991,Medium Energy,0.044742807912609886
321918,Medium Energy,0.04403274280126948
311999,Medium Energy,0.04400020025563093
311520,Medium Energy,0.04361568886054816
336213,Medium Energy,0.043172264327104796
321920,Medium Energy,0.04201489660832272
331491,Medium Energy,0.04196535545830474
336370,Medium Energy,0.04173604393595074
337125,Medium Energy,0.040957311552724904
335929,Medium Energy,0.04040549641911551
312120,Medium Energy,0.04034662551604951
311830,Medium Energy,0.040018976501851024
337124,Medium Energy,0.03970718845602551
334416,Medium Energy,0.03944923658822216
331524,Medium Energy,0.03934164431503622
332721,Medium Energy,0.03898043044951551
327910,Medium Energy,0.0384294443289091
327332,Medium Energy,0.038374662331372385
322211,Medium Energy,0.03810710671271708
311942,Medium Energy,0.03767149066356876
311351,Medium Energy,0.03755006893166159
311421,Medium Energy,0.03712287931164434
334220,Medium Energy,0.03692404872548783
332431,Medium Energy,0.03653401245196586
322220,Medium Energy,0.03604827702498313
339920,Medium Energy,0.036004270094660444
332992,Medium Energy,0.03590754648614123
327390,Medium Energy,0.03463480105840828
321213,Medium Energy,0.03437094609918741
335911,Medium Energy,0.03406510209937392
334516,Medium Energy,0.03399914882213285
336360,Medium Energy,0.03388776903941568
315190,Medium Energy,0.03351093197844308
333316,Medium Energy,0.033192141645076376
332999,Medium Energy,0.03316833361325622
333314,Medium Energy,0.033139813251010196
332722,Medium Energy,0.03245144176113285
336320,Medium Energy,0.032421943512132095
312130,Medium Energy,0.03213457334249312
339115,Medium Energy,0.032115040101806144
332618,Medium Energy,0.03195322357922208
335999,Medium Energy,0.03181902344134341
311422,Medium Energy,0.03166014430966607
339930,Medium Energy,0.03127956601266312
335210,Medium Energy,0.030651387186915693
311941,Medium Energy,0.030398242545462133
325520,Medium Energy,0.030080304092516313
332613,Medium Energy,0.029948092781368695
331210,Medium Energy,0.02982835940673834
325992,Medium Energy,0.029752637536170707
311710,Medium Energy,0.02941176329134948
315210,Medium Energy,0.02933664593581977
337212,Medium Energy,0.029020020099723896
332114,Medium Energy,0.028818880204407413
335122,Medium Energy,0.02854685166402583
323120,Medium Energy,0.028499531015351732
339994,Medium Energy,0.028479544674563616
333415,Medium Energy,0.028338478449506536
321911,Medium Energy,0.02817302942254278
323113,Medium Energy,0.028109547330749673
332439,Medium Energy,0.02790534284652519
326220,Medium Energy,0.027861798459863637
333112,Medium Energy,0.027842127713840835
332119,Medium Energy,0.02741644195962613
339999,Medium Energy,0.02738939829561695
337110,Medium Energy,0.026624947823966474
336415,Medium Energy,0.026520433927127253
321214,Medium Energy,0.026484016450391484
333511,Medium Energy,0.02647717832375032
312140,Medium Energy,0.026383576619201328
331512,Medium Energy,0.02633523990662904
311824,Medium Energy,0.026203492444783063
333991,Medium Energy,0.026199732268314877
315240,Medium Energy,0.02607265266247299
335228,Medium Energy,0.026008490296105975
339940,Medium Energy,0.025972956726919457
332117,Medium Energy,0.02589820952549178
333618,Medium Energy,0.025245408758655576
335129,Medium Energy,0.02523409151903502
333414,Medium Energy,0.024963978822123412
332420,Medium Energy,0.024900263512329778
337122,Medium Energy,0.02483738917245635
311813,Medium Energy,0.024740655791664724
336999,Medium Energy,0.024612842743701374
336112,Medium Energy,0.024383591313729174
339993,Medium Energy,0.024108134870225638
333111,Medium Energy,0.023960240475160974
325414,Medium Energy,0.02364607219212617
335121,Medium Energy,0.023639328568078388
322230,Medium Energy,0.023242678505442642
335311,Medium Energy,0.023170552678058044
332510,Medium Energy,0.023081629351508526
311919,Medium Energy,0.022715471186597246
333318,Medium Energy,0.022352389304041157
336991,Medium Energy,0.022348670186040018
339991,Medium Energy,0.022195188732962997
337920,Medium Energy,0.022027193126890166
339995,Medium Energy,0.021883023514160504
332313,Medium Energy,0.021577978227451642
334417,Medium Energy,0.021535311244665827
325320,Medium Energy,0.021489397228251873
325611,Medium Energy,0.020952973612214217
337121,Medium Energy,0.020944994366251295
311230,Medium Energy,0.0198355053182992
336214,Medium Energy,0.01907245337676047
311930,Medium Energy,0.019036524032277694
325413,Medium Energy,0.018646221842134072
